Tue Mar 24 17:29:29 2026    profiling_results/inference_patch_pipeline_full_run5.prof

         331749 function calls (322110 primitive calls) in 0.301 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.001    0.000 parsers.py:1119(_do_parse)
        1    0.000    0.000    0.001    0.001 utils.py:400(__init__)
    74/18    0.000    0.000    0.001    0.000 copy.py:248(_reconstruct)
        4    0.000    0.000    0.001    0.000 client.py:916(__init__)
       23    0.000    0.000    0.001    0.000 auth.py:417(signature)
      674    0.001    0.000    0.001    0.000 {built-in method builtins.all}
     6456    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
  273/269    0.000    0.000    0.001    0.000 session.py:814(get_component)
     9298    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
        4    0.000    0.000    0.001    0.000 client.py:977(_register_handlers)
       23    0.000    0.000    0.001    0.000 endpoint.py:140(_encode_headers)
     1014    0.001    0.000    0.001    0.000 <frozen os>:794(encode)
       46    0.000    0.000    0.001    0.000 hooks.py:258(emit_until_response)
      568    0.000    0.000    0.001    0.000 __init__.py:164(match)
       13    0.000    0.000    0.001    0.000 transform.py:35(copy_dynamodb_params)
       10    0.000    0.000    0.001    0.000 parsers.py:1127(_add_modeled_parse)
     1196    0.001    0.000    0.001    0.000 random.py:245(_randbelow_with_getrandbits)
     1020    0.001    0.000    0.001    0.000 __init__.py:330(_compile)
       23    0.000    0.000    0.001    0.000 responses.py:442(get_current_account)
      115    0.000    0.000    0.001    0.000 auth.py:235(_sign)
       28    0.000    0.000    0.001    0.000 contextlib.py:145(__exit__)
       23    0.000    0.000    0.001    0.000 auth.py:334(payload)
      145    0.001    0.000    0.001    0.000 parse.py:374(urlparse)
       13    0.000    0.000    0.001    0.000 serialize.py:422(serialize_to_request)
      215    0.001    0.000    0.001    0.000 inspect.py:3051(__init__)
    43/14    0.000    0.000    0.001    0.000 copy.py:218(_deepcopy_dict)
     2294    0.001    0.000    0.001    0.000 __init__.py:155(xform_name)
       24    0.000    0.000    0.001    0.000 transform.py:319(_transform_map)
      579    0.001    0.000    0.001    0.000 {method 'update' of 'collections.OrderedDict' objects}
      368    0.001    0.000    0.001    0.000 dynamo_type.py:209(size)
      402    0.000    0.000    0.001    0.000 configprovider.py:767(provide)
      158    0.000    0.000    0.001    0.000 base_backend.py:350(__getitem__)
     1188    0.000    0.000    0.001    0.000 <frozen os>:735(__iter__)
        1    0.000    0.000    0.001    0.001 session.py:143(_setup_loader)
       23    0.000    0.000    0.001    0.000 signers.py:206(_choose_signer)
      153    0.000    0.000    0.001    0.000 message.py:541(get_all)
        1    0.000    0.000    0.001    0.001 session.py:201(<lambda>)
     5526    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 session.py:509(_register_default_handlers)
      220    0.000    0.000    0.001    0.000 session.py:305(_build_profile_map)
      204    0.000    0.000    0.001    0.000 hooks.py:277(_register)
     3365    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1548(find_spec)
        6    0.000    0.000    0.001    0.000 session.py:428(full_config)
        5    0.000    0.000    0.001    0.000 utils.py:3197(should_bypass_proxies)
     1888    0.001    0.000    0.001    0.000 endpoint_provider.py:60(is_func)
       46    0.000    0.000    0.001    0.000 responses.py:428(get_access_key)
        8    0.000    0.000    0.001    0.000 factory.py:172(_load_actions)
     2056    0.001    0.000    0.001    0.000 inspect.py:386(isfunction)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1519(_get_spec)
      125    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      215    0.000    0.000    0.001    0.000 hooks.py:306(_register_section)
        5    0.000    0.000    0.001    0.000 request.py:2538(proxy_bypass_environment)
       46    0.000    0.000    0.001    0.000 utils.py:1287(is_valid_ipv6_endpoint_url)
       15    0.000    0.000    0.001    0.000 awsrequest.py:483(body)
       10    0.000    0.000    0.001    0.000 parsers.py:1179(_parse_non_payload_attrs)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1621(find_spec)
        2    0.000    0.000    0.001    0.000 configloader.py:109(raw_config_parse)
       16    0.000    0.000    0.001    0.000 responses.py:314(parse_key_name)
     5902    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        8    0.000    0.000    0.001    0.000 Image.py:1267(crop)
       23    0.000    0.000    0.001    0.000 httpchecksum.py:315(resolve_checksum_context)
       23    0.000    0.000    0.001    0.000 retryhandler.py:191(__call__)
        1    0.000    0.000    0.001    0.001 credentials.py:2076(__init__)
        1    0.000    0.000    0.001    0.001 utils.py:3080(__init__)
       13    0.000    0.000    0.001    0.000 transform.py:215(inject_attribute_value_input)
     1572    0.001    0.000    0.001    0.000 awsrequest.py:599(__eq__)
      608    0.000    0.000    0.001    0.000 utilities.py:19(bytesize)
     1794    0.001    0.000    0.001    0.000 endpoint_provider.py:68(is_ref)
    64/56    0.000    0.000    0.001    0.000 transform.py:332(_transform_list)
       70    0.000    0.000    0.001    0.000 endpoint_provider.py:513(evaluate)
      158    0.000    0.000    0.001    0.000 base_backend.py:370(_create_account_specific_backend)
        2    0.000    0.000    0.001    0.000 utils.py:1746(register)
        8    0.000    0.000    0.001    0.000 models.py:2213(put_object)
      350    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
       10    0.000    0.000    0.001    0.000 serialize.py:778(serialize_to_request)
      377    0.000    0.000    0.001    0.000 validate.py:226(_check_special_validation_cases)
      173    0.000    0.000    0.001    0.000 message.py:463(__contains__)
      888    0.000    0.000    0.001    0.000 __init__.py:1498(debug)
       46    0.000    0.000    0.001    0.000 auth.py:325(signed_headers)
        8    0.000    0.000    0.001    0.000 Image.py:1293(_crop)
        1    0.000    0.000    0.001    0.001 models.py:76(__exit__)
        8    0.000    0.000    0.001    0.000 responses.py:2304(_acl_from_headers)
        1    0.000    0.000    0.001    0.001 models.py:94(stop)
     1330    0.000    0.000    0.001    0.000 <frozen os>:798(decode)
      403    0.000    0.000    0.001    0.000 session.py:388(instance_variables)
     2748    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      163    0.000    0.000    0.001    0.000 __init__.py:183(sub)
       55    0.000    0.000    0.001    0.000 hooks.py:556(prefix_search)
      136    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
     1071    0.000    0.000    0.001    0.000 utils.py:47(_has_surrogates)
     1232    0.000    0.000    0.001    0.000 responses_custom_registry.py:31(add)
      336    0.000    0.000    0.001    0.000 model.py:371(operation_model)
      162    0.000    0.000    0.001    0.000 factory.py:361(_create_autoload_property)
      215    0.000    0.000    0.001    0.000 inspect.py:176(get_annotations)
